.,,,,,135,,,,,,,,,,45,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,HH,,,,,,,HH,,,,,,,,,,,,
.,,,"-This is a blackhole
that will eat up the ball",,,,,,,,,,,,SR,"-Collect these stars
on the way",,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,O1,,,,,,,,,,,,135,,,,,,,
.,,,"-This is the cannon.
It shoots balls",,,,,,,,,,,,"-Click on cannons or
mirrors to rotate them",,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
.,,,45,,135,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,>Your task is to adjust the cannon and mirrors to complete the loop,,,,,,,,,,
.,,,,,,,,,,,,">Press the ""Loop!"" button when you're ready to test your solution",,,,,,,,,,
